timestamp,x,y,z
2025-04-07 12:58:27.881585121,-57,-189,2055
2025-04-07 12:58:27.897205591,-61,-196,2009
2025-04-07 12:58:27.912826300,-61,-180,2057
2025-04-07 12:58:27.928446770,-40,-196,2063
2025-04-07 12:58:27.944067240,-34,-182,2085
2025-04-07 12:58:27.959687948,-58,-188,2068
2025-04-07 12:58:27.975308418,-63,-182,2038
2025-04-07 12:58:27.990929127,-34,-194,2020
2025-04-07 12:58:28.006549597,-29,-192,2054
2025-04-07 12:58:28.022170305,-36,-197,2074
2025-04-07 12:58:28.037790775,-29,-194,2053
2025-04-07 12:58:28.053411245,-4,-197,2043
2025-04-07 12:58:28.069031954,-16,-197,2049
2025-04-07 12:58:28.084652424,-49,-178,2053
2025-04-07 12:58:28.100273132,-39,-191,2052
2025-04-07 12:58:28.115893602,-30,-198,2049
2025-04-07 12:58:28.131514311,-29,-183,2053
2025-04-07 12:58:28.147134781,-29,-178,2044
2025-04-07 12:58:28.162755251,-34,-176,2055
2025-04-07 12:58:28.178375959,-21,-171,2055
2025-04-07 12:58:28.193996429,-17,-168,2060
2025-04-07 12:58:28.209617138,-43,-197,2060
2025-04-07 12:58:28.225237608,-4,-167,2069
2025-04-07 12:58:28.240858316,-9,-162,2057
2025-04-07 12:58:28.256478786,-45,-185,2046
2025-04-07 12:58:28.272099257,-16,-203,2053
2025-04-07 12:58:28.287719965,-20,-189,2061
2025-04-07 12:58:28.303340435,-31,-177,2057
2025-04-07 12:58:28.318961143,-27,-158,2058
2025-04-07 12:58:28.334581614,-28,-186,2039
2025-04-07 12:58:28.350202322,-11,-223,2026
2025-04-07 12:58:28.365822792,-2,-197,2043
2025-04-07 12:58:28.381443262,17,-197,2041
2025-04-07 12:58:28.397063971,4,-193,2048
2025-04-07 12:58:28.412684441,-13,-192,2056
2025-04-07 12:58:28.428305149,-9,-178,2043
2025-04-07 12:58:28.443925619,-8,-180,2032
2025-04-07 12:58:28.459546328,-3,-164,2035
2025-04-07 12:58:28.475166798,-23,-192,2041
2025-04-07 12:58:28.490787268,-9,-189,2038
2025-04-07 12:58:28.506407976,3,-194,2053
2025-04-07 12:58:28.522028446,9,-195,2050
2025-04-07 12:58:28.537649155,1,-181,2055
2025-04-07 12:58:28.553269625,19,-184,2041
2025-04-07 12:58:28.568890333,-12,-192,2050
2025-04-07 12:58:28.584510803,-18,-180,2048
2025-04-07 12:58:28.600131273,-21,-183,2056
2025-04-07 12:58:28.615751982,-17,-198,2063
2025-04-07 12:58:28.631372452,-11,-176,2039
2025-04-07 12:58:28.646993160,-24,-182,2022
2025-04-07 12:58:28.662613630,-14,-179,2037
2025-04-07 12:58:28.678234339,-19,-196,2073
2025-04-07 12:58:28.693854809,-13,-173,2076
2025-04-07 12:58:28.709475279,-4,-171,2059
2025-04-07 12:58:28.725095987,-5,-194,2077
2025-04-07 12:58:28.740716457,-12,-174,2080
2025-04-07 12:58:28.756337166,5,-182,2057
2025-04-07 12:58:28.771957636,0,-170,2046
2025-04-07 12:58:28.787578344,-18,-172,2053
2025-04-07 12:58:28.803198814,1,-181,2060
2025-04-07 12:58:28.818819284,4,-169,2060
2025-04-07 12:58:28.834439993,-24,-166,2045
2025-04-07 12:58:28.850060463,-7,-179,2053
2025-04-07 12:58:28.865681171,-8,-174,2050
2025-04-07 12:58:28.881301641,11,-171,2055
2025-04-07 12:58:28.896922350,-2,-168,2048
2025-04-07 12:58:28.912542820,-7,-166,2055
2025-04-07 12:58:28.928163290,-3,-177,2051
2025-04-07 12:58:28.943783998,-3,-173,2053
2025-04-07 12:58:28.959404469,-3,-166,2052
2025-04-07 12:58:28.975025177,-6,-177,2054
2025-04-07 12:58:28.990645647,-8,-170,2055
2025-04-07 12:58:29.006266356,1,-181,2064
2025-04-07 12:58:29.021886826,6,-178,2053
2025-04-07 12:58:29.037507296,25,-191,2035
2025-04-07 12:58:29.053128004,4,-161,2048
2025-04-07 12:58:29.068748474,-3,-156,2064
2025-04-07 12:58:29.084369183,21,-174,2065
2025-04-07 12:58:29.099989653,5,-157,2039
2025-04-07 12:58:29.115610123,24,-170,2026
2025-04-07 12:58:29.131230830,28,-162,2060
2025-04-07 12:58:29.146851301,32,-149,2051
2025-04-07 12:58:29.162472010,27,-163,2051
2025-04-07 12:58:29.178092480,18,-168,2074
2025-04-07 12:58:29.193713188,12,-150,2055
2025-04-07 12:58:29.209333658,-7,-150,2058
2025-04-07 12:58:29.224954128,6,-170,2042
2025-04-07 12:58:29.240574837,15,-174,2036
2025-04-07 12:58:29.256195306,16,-184,2041
2025-04-07 12:58:29.271816015,28,-172,2081
2025-04-07 12:58:29.287436485,54,-156,2043
2025-04-07 12:58:29.303057194,43,-169,2040
2025-04-07 12:58:29.318677664,46,-201,2004
2025-04-07 12:58:29.334298134,17,-216,2008
2025-04-07 12:58:29.349918842,35,-209,2054
2025-04-07 12:58:29.365539312,43,-178,2024
2025-04-07 12:58:29.381160021,42,-178,2015
2025-04-07 12:58:29.396780491,66,-186,2014
2025-04-07 12:58:29.412401199,38,-187,2066
2025-04-07 12:58:29.428021669,41,-179,2060
2025-04-07 12:58:29.443642139,10,-190,2029
2025-04-07 12:58:29.459262848,-65,-201,2042
2025-04-07 12:58:29.474883318,-91,-259,2016
2025-04-07 12:58:29.490504026,-169,-284,2005
2025-04-07 12:58:29.506124496,-212,-239,2071
2025-04-07 12:58:29.521745205,-190,-260,2113
2025-04-07 12:58:29.537365675,-286,-284,2011
2025-04-07 12:58:29.552986145,-278,-283,2062
2025-04-07 12:58:29.568606853,-158,-175,1944
2025-04-07 12:58:29.584227324,-293,-250,2116
2025-04-07 12:58:29.599848032,-413,-262,2180
2025-04-07 12:58:29.615468502,-360,-245,2055
2025-04-07 12:58:29.631089211,-442,-248,1972
2025-04-07 12:58:29.646709681,-415,-235,2019
2025-04-07 12:58:29.662330151,-428,-245,2020
2025-04-07 12:58:29.677950859,-398,-235,2023
2025-04-07 12:58:29.693571329,-424,-238,2070
2025-04-07 12:58:29.709192038,-414,-262,1956
2025-04-07 12:58:29.724812508,-373,-244,2022
2025-04-07 12:58:29.740433216,-344,-225,2034
2025-04-07 12:58:29.756053686,-327,-245,2030
